Department,Category,Variance (₹),Variance (%),Status,Insight
Operations,Unclassified,-25060,-0.624237140366173,Under Budget,"Operations underspent on Unclassified by 62.4% (-₹25,060) against budget this period — significantly outside the normal range. Consider reallocating the unused budget or revisiting the forecast."
Marketing,Training,5501558,0.258351937231684,Over Budget,"Marketing overspent on Training by 25.8% (+₹5,501,558) against budget this period — moderately outside the normal range. Recommend reviewing recent training commitments in Marketing."
Operations,Salaries,4116403,0.209095516259674,Over Budget,"Operations overspent on Salaries by 20.9% (+₹4,116,403) against budget this period — moderately outside the normal range. Recommend reviewing recent salaries commitments in Operations."
IT,Salaries,3974415,0.200315845042489,Over Budget,"IT overspent on Salaries by 20.0% (+₹3,974,415) against budget this period — moderately outside the normal range. Recommend reviewing recent salaries commitments in IT."
Marketing,Travel,4134647,0.19947424039417,Over Budget,"Marketing overspent on Travel by 19.9% (+₹4,134,647) against budget this period — moderately outside the normal range. Recommend reviewing recent travel commitments in Marketing."
Sales,Utilities,4078301,0.182811615328022,Over Budget,"Sales overspent on Utilities by 18.3% (+₹4,078,301) against budget this period — moderately outside the normal range. Recommend reviewing recent utilities commitments in Sales."
Operations,Marketing,3621586,0.177819512693306,Over Budget,"Operations overspent on Marketing by 17.8% (+₹3,621,586) against budget this period — moderately outside the normal range. Recommend reviewing recent marketing commitments in Operations."
Operations,Utilities,3988056,0.167996309862062,Over Budget,"Operations overspent on Utilities by 16.8% (+₹3,988,056) against budget this period — moderately outside the normal range. Recommend reviewing recent utilities commitments in Operations."
Marketing,Salaries,3504642,0.167112257455649,Over Budget,"Marketing overspent on Salaries by 16.7% (+₹3,504,642) against budget this period — moderately outside the normal range. Recommend reviewing recent salaries commitments in Marketing."
HR,Training,3699628,0.159886612570867,Over Budget,"HR overspent on Training by 16.0% (+₹3,699,628) against budget this period — moderately outside the normal range. Recommend reviewing recent training commitments in HR."
HR,Infrastructure,3015354,0.151793253166708,Over Budget,"HR overspent on Infrastructure by 15.2% (+₹3,015,354) against budget this period — moderately outside the normal range. Recommend reviewing recent infrastructure commitments in HR."
Marketing,Marketing,3571654,0.151418501038008,Over Budget,"Marketing overspent on Marketing by 15.1% (+₹3,571,654) against budget this period — moderately outside the normal range. Recommend reviewing recent marketing commitments in Marketing."
IT,Utilities,3461347,0.150463294418497,Over Budget,"IT overspent on Utilities by 15.0% (+₹3,461,347) against budget this period — moderately outside the normal range. Recommend reviewing recent utilities commitments in IT."
